Product,Size (WxH),Part Number,Part Name,Stock Length,Cut Length,Qty Per Unit,Unit Count,Total Qty,Color
"ThinWall - Swing Door","36""x96""","48445-BL-99","Fixed Back Stile","99","36.63","1","3","3","Black (Powder Coated)"
"ThinWall - Swing Door","36""x96""","48445-BL-99","Fixed Back Stile","99","94.75","4","3","12","Black (Powder Coated)"
"ThinWall - Swing Door","36""x96""","48447-BL-102","Glass Stop","102","27.75","2","3","6","Black (Powder Coated)"
"ThinWall - Swing Door","36""x96""","48447-BL-102","Glass Stop","102","75.75","2","3","6","Black (Powder Coated)"
"ThinWall - Swing Door","36""x96""","48448-BL-99","Glass Stop","99","27.75","2","3","6","Black (Powder Coated)"
"ThinWall - Swing Door","36""x96""","48448-BL-99","Glass Stop","99","75.75","2","3","6","Black (Powder Coated)"
"ThinWall - Swing Door","36""x96""","48457-BL-99","Lock Stile","99","91.75","1","3","3","Black (Powder Coated)"
"ThinWall - Swing Door","36""x96""","E-11437H-BL-87","Top Rail","87","27.75","1","3","3","Black (Powder Coated)"
"ThinWall - Swing Door","36""x96""","E-12154-BL-123","Door Stop","123","92.63","4","3","12","Black (Powder Coated)"
"ThinWall - Swing Door","36""x96""","E-12154-BL-87","Door Stop","87","36.09","1","3","3","Black (Powder Coated)"
"ThinWall - Swing Door","36""x96""","E-12303-BL-123","Flat Stock Trim","123","44.00","2","3","6","Black (Powder Coated)"
"ThinWall - Swing Door","36""x96""","E-12306-BL-123","Starter Channel","123","94.00","2","3","6","Black (Powder Coated)"

"--- BATCH INFORMATION ---"
"Total Units:",3
"Batch Size:",3
"Full Batches:",1
"Remainder Units:","None - batches divide evenly"
